,lat,lng,weight
0,45.52587605000001,-73.55943843,13
1,45.49006358,-73.58578119000002,9
2,45.51110366,-73.57004554,5
3,45.44642234999999,-73.58974153999999,8
4,45.52581270000001,-73.59890606,9
5,45.557151899999994,-73.54521517,5
6,45.52736715,-73.57979909999999,5
7,45.53722565,-73.58391942,5
8,45.54701313,-73.5596528,5
9,45.51162932,-73.57813484,9
10,45.53678955,-73.54276605,6
11,45.548112429999996,-73.62469958999999,14
12,45.532567869999994,-73.60188825,10
13,45.5181763,-73.57022070999999,7
14,45.54078961,-73.62299312,6
15,45.51702771000003,-73.56479219999999,39
16,45.53054953000001,-73.56950635,12
17,45.51504174000001,-73.57511894,7
18,45.53277341,-73.56737094,7
19,45.52396275,-73.5829268,9
20,45.55023985000002,-73.62936613000007,37
21,45.52180648,-73.57818733,18
22,45.545059859999995,-73.5608289,7
23,45.532912910000015,-73.57457938,15
24,45.49455762,-73.58054220999999,6
25,45.52864299,-73.59321397,5
26,45.50770677999999,-73.56256361,7
27,45.48555915999999,-73.58068182,17
28,45.51675920000002,-73.58932885,12
29,45.57492829,-73.58450088,6
30,45.515311049999994,-73.56110402,7
31,45.526226619999996,-73.58791003,8
32,45.54423749,-73.58099729999999,5
33,45.49086512000001,-73.58487404,8
34,45.527943250000014,-73.56393418000002,14
35,45.550973559999996,-73.57315602000001,7
36,45.5330061,-73.55266017,5
37,45.51104371000001,-73.56490052,7
38,45.5158745,-73.57548854,5
39,45.53516387,-73.57245692,5
40,45.52639879,-73.57346981,8
41,45.51439267,-73.60997547,12
42,45.50751968,-73.55870245,5
43,45.51343848,-73.56276585,6
44,45.54145110000001,-73.56161893,7
45,45.52289362,-73.58058263,9
46,45.52581598,-73.59039282000002,6
47,45.53101413000001,-73.59849268,6
48,45.49263033,-73.58281682999998,13
49,45.51183527,-73.56658802,6
50,45.52690660999999,-73.61282371000001,10
51,45.512667130000004,-73.57363112,8
52,45.50158082000001,-73.57401334999999,12
53,45.538296960000004,-73.61443425000002,10
54,45.52694527,-73.58948579000001,6
55,45.50873116,-73.56482107,5
56,45.60666951000001,-73.61998327000002,6
57,45.51789184,-73.564294,6
58,45.51333862,-73.57300467,5
59,45.55931034000001,-73.65122684,7
60,45.52060359,-73.56783252000001,10
61,45.52241501,-73.54873178,5
62,45.53739206,-73.56302298000001,12
63,45.512506639999984,-73.55500881000002,15
64,45.48183565,-73.57841167,6
65,45.47345688,-73.83501986,5
66,45.53889965,-73.63135046,5
67,45.515300350000004,-73.57945226,8
68,45.5975597,-73.5702043,6
69,45.50835837,-73.57128352,5
70,45.44515993,-73.76250979,5
71,45.49573719,-73.57944353000002,10
72,45.50980961,-73.56717716000001,10
73,45.69033553,-73.52428493,5
74,45.59915317,-73.56893726,6
75,45.54863409,-73.57455439,7
76,45.57023349000001,-73.6584692,7
77,45.52626405,-73.5900185,8
78,45.55459228,-73.55458876,10
79,45.51801568,-73.58171487,5
80,45.50085342,-73.63219608,5
81,45.52980226,-73.57017115999999,6
82,45.52526145,-73.59939965,5
83,45.471082150000015,-73.56392101999998,13
84,45.53406318999999,-73.61886850999998,11
85,45.49864517999999,-73.62746935,7
86,45.54265052,-73.57245373,6
87,45.52325133,-73.55377756999998,8
88,45.52941034,-73.54419434,6
89,45.52073723,-73.57588175,9
90,45.5193806,-73.58042389,10
91,45.49689708,-73.56680354,5
92,45.442632960000005,-73.64715663,7
93,45.502687200000004,-73.55932445,5
94,45.55957515,-73.58715502999999,10
95,45.57049399,-73.55100402,5
96,45.55393418,-73.55549674999999,6
97,45.52293259,-73.56130429,5
98,45.52137247999999,-73.54975635000001,10
99,45.54794137,-73.60705152,5
100,45.50697209,-73.5721136,5
101,45.52781379,-73.60330049,5
102,45.52025869,-73.59046081999999,6
103,45.51366513,-73.58240974,10
104,45.52235646,-73.57767478,5
105,45.51590265,-73.56525169,5
106,45.50437089,-73.5740665,6
107,45.55058854,-73.59500484,5
108,45.544771270000005,-73.60007903,9
109,45.51961545,-73.59581032,5
110,45.53086634,-73.58145831,5
111,45.50369497999999,-73.57473274000002,7
112,45.49502741,-73.57784319,5
113,45.50949064999999,-73.57367817,7
114,45.51438377,-73.56192216,5
115,45.50111973,-73.57728856,5
116,45.51575795,-73.58049565,6
117,45.44230018,-73.64702794,5
118,45.50426912,-73.56270448,5
119,45.51690918,-73.5674672,5
120,45.52866351,-73.58557784,6
121,45.5181245,-73.59242859999999,9
122,45.52009987,-73.58639003999998,6
123,45.59254802,-73.57469439,5
124,45.54248705,-73.64135991,6
125,45.510529850000005,-73.56655090000002,7
126,45.49873064,-73.57033729,5
127,45.47288026,-73.56253963,5
128,45.52701626,-73.56422758,5
129,45.53216117,-73.56795915,5
130,45.48808008999999,-73.58805192,7
131,45.51643903,-73.55483344,5
132,45.53640425,-73.59838685,5
133,45.51835367,-73.58795781000002,8
134,45.51076260999999,-73.56701082,7
135,45.43242245,-73.62999133,6
136,45.52452102,-73.58241556,6
137,45.49805113,-73.57748908,6
138,45.51748512,-73.58218368,5
139,45.56653656999999,-73.59136779,6
140,45.47851895000001,-73.57955894999999,7
141,45.50184008,-73.57658575,6
142,45.521912799999996,-73.56661553,5
143,45.49955126,-73.62925691,5
144,45.5144135,-73.55664895,5
145,45.53397779,-73.60501487,8
146,45.502778369999994,-73.57283765,7
147,45.52701116,-73.60883265,6
148,45.45624813,-73.63114978,7
149,45.52022704,-73.57165691,5
150,45.474305640000004,-73.60883051999998,6
151,45.58461441,-73.50859891,6
152,45.53409449,-73.5701765,6
153,45.54918060000001,-73.62709686,5
154,45.44700179,-73.59100842,5
155,45.502677500000004,-73.57574231,7
156,45.59370839000001,-73.62170918,6
157,45.53740036,-73.58972754,6
158,45.58386293,-73.55643683,5
159,45.53511428000001,-73.56514587,6
160,45.530826209999994,-73.72489492,6
161,45.49862686,-73.91829437,8
162,45.53935881,-73.60502487999999,7
163,45.55321807000001,-73.58786649,6
164,45.45439751999999,-73.70120001,6
165,45.5368339,-73.56349611,5
166,45.47646482,-73.7895798,5
167,45.51331685000001,-73.55426726,7
168,45.53984062,-73.69672173,6
169,45.488274489999995,-73.63902381000001,7
170,45.52533726,-73.5859628,5
171,45.479237510000004,-73.55881377000001,7
